total day charge,total eve charge,total night charge,total intl charge,ARPU,phone number
32.15,20.92,10.89,2.81,66.77,362-5111
22.36,19.57,12.77,2.7,57.4,358-6796
28.29,20.67,10.31,2.67,61.94,409-7494
24.19,10.44,10.33,3.46,48.42,400-1636
14.91,18.96,8.2,1.97,44.04,389-2747
31.3,16.53,10.15,4.56,62.54,415-2176
29.67,19.06,5.23,3.32,57.28,377-8067
17.56,11.77,7.42,2.43,39.18,362-7835
5.97,15.37,11.32,3.43,36.09,361-5225
41.92,12.02,8.54,3.51,65.99,333-3447
13.35,17.89,8.09,3.19,42.52,341-3044
25.18,14.02,9.72,3.32,52.24,350-7306
35.05,21.79,5.27,2.43,64.54,353-8849
42.77,16.8,9.41,3.29,72.27,402-3476
45.95,18.29,11.43,3.89,79.56,338-6018
26.62,19.06,11.74,3.05,60.47,409-3520
23.7,19.01,7.79,3.67,54.17,357-1085
37.43,16.01,7.77,3.16,64.37,353-3285
36.4,14.38,8.54,2.73,62.05,409-9885
33.32,18.14,8.86,2.13,62.45,388-7701
18.09,20.41,6.65,1.43,46.58,385-8184
30.5,23.41,11.07,2.7,67.68,345-2863
36.84,12.27,6.09,2.92,58.12,353-6300
30.14,12.99,7.33,1.38,51.84,389-5649
25.77,18.65,10.11,1.08,55.61,378-8137
44.57,14.04,8.74,2.86,70.21,340-4627
29.51,7.79,9.53,2.62,49.45,352-6833
18.12,12.53,10.61,2.59,43.85,420-2000
32.86,10.91,7.29,3.13,54.19,368-5437
36.92,11.79,6.27,3.05,58.03,418-8170
35.62,14.69,4.23,2.38,56.92,403-9417
16.22,17.61,6.12,1.51,41.46,330-6165
36.48,17.44,6.06,2.19,62.17,412-4185
22.37,17.96,7.57,3,50.9,409-4734
28.63,18.45,3.67,3.19,53.94,348-9828
24.89,15.01,9.57,2.11,51.58,418-8850
31.11,17.57,9.17,3,60.85,330-8351
17.56,20.9,7.25,1.73,47.44,347-7773
19.07,13.16,7.5,2.86,42.59,392-6841
29.02,15.22,12.69,2.21,59.14,354-2189
29.33,12.12,4.59,2.94,48.98,349-9060
33.03,20.67,14.5,1.92,70.12,334-1311
31.93,11.03,5.95,3.24,52.15,415-3120
52.21,24.6,7.87,2.16,86.84,387-5891
20.09,14.21,9.64,3.29,47.23,368-8026
26.18,17.5,10.52,3.48,57.68,332-9446
26.44,18.14,10.71,2.05,57.34,393-5284
21.35,18.11,8.18,1.46,49.1,376-1677
33.88,19.06,6.3,4.1,63.34,392-2268
26.84,15.37,5.96,3.46,51.63,396-4311
34.58,14.25,5.94,2.48,57.25,363-4005
37.77,18.57,11.97,2.94,71.25,344-9966
15.78,23.05,7.52,1.57,47.92,337-7377
36.86,8.69,7.83,2.32,55.7,373-7037
32.84,16.52,8.39,2.62,60.37,356-7580
19.24,16.09,12.23,3.81,51.37,390-3401
28.25,20.3,4.9,3.02,56.47,350-9313
44.57,13.35,5.81,1.97,65.7,420-9009
35.33,16.63,8.32,3.54,63.82,415-2641
41.72,12.6,12.33,2.03,68.68,392-4929
48.81,15.16,6.89,3.89,74.75,346-5068
32.69,14.05,9.23,2.43,58.4,389-2631
33.01,20.58,9.71,2.62,65.92,368-3808
35.87,18.45,9.67,2.65,66.64,406-8599
24.12,19.46,8.78,2.35,54.71,386-7456
37.49,20.36,11.44,1.59,70.88,357-4936
26.76,12.33,12.68,2.51,54.28,397-7411
24.4,19,7.89,3.02,54.31,353-6218
26.52,4.76,7.35,2.4,41.03,369-5942
27.22,17.71,7.99,2.48,55.4,416-8543
39.97,21.4,12.87,1.94,76.18,358-4576
27.2,17.81,3.7,2.35,51.06,352-5118
32.03,14.1,9.26,3.56,58.95,408-2621
33.12,20,7.85,2.97,63.94,353-3994
42.13,11.05,6.04,1.86,61.08,367-4277
37.6,18.16,13.13,3.21,72.1,354-3237
20.15,18.18,5.97,3.62,47.92,394-8504
39.41,19.8,9.31,2.05,70.57,370-4139
36.7,21.92,8.11,3.13,69.86,382-6135
36.91,18.77,11.23,2.16,69.07,359-5718
14.2,18.79,15.74,3.4,52.13,385-3111
31.16,17.43,11.87,1.38,61.84,353-4880
40.26,22.55,6.86,2.57,72.24,343-7019
32.95,16.6,8.22,2.3,60.07,419-6133
22.78,17.51,8.13,2.62,51.04,350-7344
30.02,14.68,4.7,3.05,52.45,397-6064
32.54,17.46,9.26,2.75,62.01,363-6896
29.72,18.67,11.51,3.46,63.36,416-9021
46.78,15.32,7.15,2.13,71.38,408-3269
29.58,20.49,9.35,2.13,61.55,408-9463
28.05,21.22,7.66,3.4,60.33,340-7062
38.88,14.34,10.06,3.19,66.47,417-4309
18.34,20.04,10.29,2.57,51.24,421-2659
37.62,13.41,8.66,3.05,62.74,383-2017
23.99,17.97,4.67,1.59,48.22,411-6294
28.29,20.26,6.78,2.89,58.22,332-9525
42.43,19.31,10.8,2.05,74.59,401-5012
30.36,18.11,8.91,2.94,60.32,368-8835
23.63,19.12,7.69,4.24,54.68,351-1382
22.83,17.2,8.82,3.4,52.25,359-7694
36.7,20.41,7.05,1.32,65.48,419-5505
30.87,18.12,9.35,3.08,61.42,341-4570
30.33,14.31,5.42,2.51,52.57,366-6991
18.09,11.92,4.09,3.08,37.18,377-7399
29.02,20.42,5.36,3.08,57.88,377-9092
31.37,15.57,5.73,3.32,55.99,373-6681
27.4,17.36,10.42,2.4,57.58,417-7736
14.43,21.89,9.47,2.03,47.82,393-2812
37.04,19.56,10.44,2.86,69.9,398-3176
46.05,19.23,8.05,2.38,75.71,334-8694
41.31,15.63,8.29,4.13,69.36,369-5449
21.79,4.09,5.23,2.4,33.51,380-5246
21.47,14.35,6.96,2.65,45.43,390-3873
30.38,18.33,6.87,2.86,58.44,354-4568
27.03,21.68,3.71,2.73,55.15,339-6968
25.65,13.75,7.55,3.16,50.11,379-5933
37.38,17.72,15.86,2.19,73.15,365-5682
28.56,16.35,7.49,2.73,55.13,382-8518
27.56,14.6,11.69,2.59,56.44,356-8449
33.8,16.62,9.6,4.46,64.48,333-3460
43.66,19.56,6.46,2.46,72.14,375-8596
31.08,18.08,8.72,2.97,60.85,384-5907
33.46,21.61,11.78,2.08,68.93,373-2903
23.82,19.67,8.46,3.02,54.97,361-7702
33.03,16.14,10.45,2.43,62.05,388-5850
19.99,18.19,10.78,2.38,51.34,405-6298
32.93,15.86,10.04,3.13,61.96,368-2074
41.33,19.67,8.14,2.11,71.25,328-5050
24.72,10.99,8.39,1.4,45.5,395-5783
28.75,14.44,11.02,2.67,56.88,420-7301
38.98,15.68,7.57,2.38,64.61,328-2478
33.52,17.99,9.45,2.24,63.2,381-2460
31.69,17.09,12.9,3,64.68,390-9811
12.94,24.68,10.66,2.92,51.2,373-5670
27.68,15.73,9.88,1.62,54.91,351-7016
30.99,16.93,5.41,4.86,58.19,394-9934
33.05,21.06,11.04,3.02,68.17,422-8268
32.18,10.08,11.26,3.38,56.9,373-7690
27.22,14.34,1.04,2.57,45.17,366-9781
24.65,20.46,8.87,1.92,55.9,404-5427
37.52,10.14,7.43,3.11,58.2,389-9783
38.2,11.43,5.41,2.03,57.07,351-7005
24.99,13.8,7.33,2.84,48.96,348-2009
44.34,18.14,8.8,2.73,74.01,340-4236
26.42,13.95,7.1,2.43,49.9,348-1528
28.25,21.7,10.26,1.46,61.67,365-5039
36.01,22.14,6.49,2.92,67.56,411-1810
22.19,17.71,6.37,2.97,49.24,364-7644
27.66,24.82,8.25,2.35,63.08,335-9066
40.31,22.46,12.21,2.13,77.11,362-7581
28.25,18.5,9.91,3.56,60.22,346-1095
20.69,10.69,11.77,2.24,45.39,357-9136
29.99,17.09,6.77,3.02,56.87,390-7863
11.46,20.74,12.65,3.08,47.93,344-2416
39.05,28.56,8.68,2.59,78.88,373-1448
29.92,23.62,7.86,3.97,65.37,360-7076
42.11,22.91,7.53,2.59,75.14,413-2241
19.62,22.32,11.06,3.54,56.54,343-3961
19.07,17.82,11.74,3.75,52.38,375-4107
27.64,13.09,9.44,3.11,53.28,414-7410
39,18.2,13.03,2.81,73.04,351-2535
23.73,10.56,4.3,4.05,42.64,416-9615
44.85,21.36,9,2.27,77.48,377-1293
36.98,19.86,7.38,2.43,66.65,388-6479
19.43,16.98,8.76,2.03,47.2,390-2755
33.37,11.63,6.96,2.08,54.04,340-5930
43.04,15.98,6.39,1.19,66.6,401-3622
16.66,20.46,11.47,2.84,51.43,382-1104
42.4,17.98,7.61,2.46,70.45,355-9324
22.03,19.81,13.37,3.92,59.13,393-4843
37.62,22.75,5.02,2.51,67.9,401-4052
37.52,15.11,9.27,3.35,65.25,385-1830
14.89,22.27,8.31,2.48,47.95,348-7409
34.61,13.74,7.92,2.27,58.54,361-4910
36.31,19.97,10.33,2.38,68.99,415-6578
30.87,18.76,10.63,3.48,63.74,395-5015
36.62,27.94,7.22,2.11,73.89,369-6012
45.27,17.66,9.23,3.78,75.94,394-4520
33.86,14.88,9.48,2.75,60.97,380-5873
19.55,11.71,10.08,1.97,43.31,372-5384
45.99,19.55,6.12,2.59,74.25,419-1863
37.77,13.01,10.23,3.48,64.49,352-5697
10.52,22.32,9.56,2.38,44.78,373-4274
23.99,21.17,6.12,2.92,54.2,382-4024
32.16,15.67,11.51,2.86,62.2,395-9215
33.32,15.81,6.89,2.65,58.67,331-9149
29.17,17.43,7.68,3.73,58.01,347-3958
29.58,13.71,11.73,3.08,58.1,389-2540
13.36,15.92,8.29,2,39.57,399-3083
34.15,13.97,11.21,2.4,61.73,420-8308
24.02,21.56,9.71,1.73,57.02,384-7724
40.09,14.96,2.86,1.97,59.88,389-2114
31.47,14.03,5.02,1.7,52.22,335-4414
43.23,6.71,6.89,3.19,60.02,370-5361
31.11,18.26,9.29,2.35,61.01,374-5965
27.8,23.36,17.19,2.03,70.38,420-6414
35.34,17.89,4.93,2.08,60.24,392-2708
42.26,14.87,9.32,1.65,68.1,352-7234
31.52,16.8,6.62,3.92,58.86,337-9878
33.63,18.79,7.59,2.4,62.41,350-7288
22.46,11.81,8.67,2.46,45.4,415-8448
33.51,19.36,9.63,2.51,65.01,392-6331
26.28,15.66,9.78,3.4,55.12,392-3315
26.03,15.8,10.09,2.7,54.62,382-5401
35.9,19.64,9.94,1.7,67.18,389-7012
16.46,12.12,9.45,2.94,40.97,411-4714
29.24,23.49,8.72,2.73,64.18,343-3846
23.99,12.51,11.46,2.16,50.12,370-4395
25.69,20.8,6.95,3.73,57.17,422-4394
35.63,19.45,7.76,2.05,64.89,405-1780
41.99,10.68,10.19,2.84,65.7,393-2220
37.64,14.09,11.12,2.92,65.77,355-8299
54.62,14.27,8.71,2.16,79.76,379-8681
41.43,5.1,8.5,3.05,58.08,409-7034
42.76,18.21,8.37,3,72.34,358-1922
40.27,13.4,10.85,1.97,66.49,346-1629
27.15,18.42,9.3,2.51,57.38,347-1870
25.19,18.73,6.04,2.48,52.44,374-9576
25.65,22.83,8.1,3.97,60.55,380-1096
35.79,21.29,10.87,3.11,71.06,396-5790
29.05,17.12,7.15,1.11,54.43,356-5244
43.3,7.67,6.9,2.86,60.73,341-1412
48.35,13.35,10.93,2.27,74.9,387-7371
0,13.57,7.52,1.84,22.93,392-2555
22.73,15.96,8.19,2.89,49.77,403-9167
38.23,16.31,10.35,2.78,67.67,338-6550
25.81,17.84,12.01,3.21,58.87,357-5801
24.04,13.86,9.9,1.51,49.31,403-1953
48.57,19.63,10.38,4,82.58,357-6039
9.93,22.29,7.15,3.21,42.58,388-9653
15.37,17.11,10.22,3.54,46.24,359-2915
19.45,18.41,11.28,2.97,52.11,381-4562
25.11,18.93,7.36,3.46,54.86,406-2213
51.46,20.44,8.73,3.67,84.3,330-6436
23.14,17.36,10.27,3.05,53.82,332-4289
28.85,14.1,8.64,3.46,55.05,386-3596
38.62,16.52,10.95,4.02,70.11,337-3740
37.03,18.75,12.48,2.78,71.04,414-1496
21.11,10.53,6.11,3.54,41.29,349-7291
35.05,19.75,11.32,3.67,69.79,385-1985
22.59,5.7,7.22,2.67,38.18,329-7102
17.83,20.2,11.85,2.08,51.96,394-2553
41.65,21.31,12.16,3.7,78.82,339-1330
31.37,19.04,8.12,3.13,61.66,398-1959
15.22,15.24,10.13,3.32,43.91,408-7015
40.05,16.56,7.68,2.32,66.61,384-9254
31.62,22.3,4.45,3.11,61.48,355-9475
38.06,13.23,6.76,1.97,60.02,334-1337
30.52,13.8,11.9,1.78,58,359-1441
28.8,21.55,8.87,2.4,61.62,391-5442
20.08,12.27,10.13,2.21,44.69,374-1551
19.04,16.46,9.4,1.11,46.01,399-6233
28.63,19.2,8.63,2.3,58.76,337-4749
36.43,16,15.01,3.05,70.49,403-5552
41.77,20.56,12.84,1.13,76.3,405-3097
26.62,6.04,11.78,3.62,48.06,364-9240
24.28,23.15,8.7,2.4,58.53,404-9348
34.41,19.61,9.09,2.75,65.86,336-1462
19.86,10.46,9.79,3.24,43.35,364-8981
26.47,22.13,8.65,2.97,60.22,412-7606
40.14,24.58,7.89,2.46,75.07,380-6342
23.48,22.11,6.09,2.21,53.89,418-3017
8.82,13.77,10.06,2.73,35.38,367-3648
13.82,18.75,10.61,2.4,45.58,341-5892
29.16,13.01,7.45,1.92,51.54,334-4678
21.42,12.27,13.63,2.05,49.37,366-6751
33.52,13.26,9.18,2.67,58.63,397-8512
33,19.31,8.57,4.13,65.01,367-9495
19.67,10.86,4.84,2.51,37.88,379-2991
26.72,16.69,10.2,2.27,55.88,356-4832
45.85,17.65,9.64,1.22,74.36,413-4040
41.89,19.39,7.49,2.46,71.23,366-4444
38.66,22.82,6.45,3.51,71.44,394-3806
32.27,9.82,8.61,3.29,53.99,368-5647
32.11,13.68,8.9,3.11,57.8,412-1076
0,16.33,7.6,1.94,25.87,413-7655
18.79,19.36,10.96,2.97,52.08,371-2316
28.49,18.63,9.72,3.16,60,420-3346
22.44,16.79,7.91,0,47.14,367-3971
28.53,21.07,6.98,3.21,59.79,417-5813
36.28,17.4,11.55,1.54,66.77,421-8535
29.82,8.36,9.09,2.86,50.13,375-1721
14.04,19.07,7.36,2.57,43.04,331-8484
24.34,7.49,10.49,2.38,44.7,366-5829
21.34,22.93,10.61,2.4,57.28,367-7906
13.99,21.77,10.33,3.19,49.28,412-2520
28.15,16.65,5.32,3.19,53.31,386-9177
31.13,19.77,11.17,2.27,64.34,420-6780
27.56,18.03,11.72,3.29,60.6,401-1454
28.32,16.35,7.56,2.08,54.31,379-2508
23.1,19.82,9.48,2.54,54.94,353-3492
28.17,18.33,10.95,2.65,60.1,406-4840
29.94,14.87,10.56,2.62,57.99,391-7982
24.19,17.38,9.14,2.46,53.17,379-9821
30.19,25.23,8.68,2.05,66.15,398-7414
14.14,16.2,6.77,2.89,40,338-8566
39.95,15.58,6.29,1.54,63.36,397-3058
17.97,12.05,8.12,1.78,39.92,389-8096
25.4,14.61,9.65,4.83,54.49,393-6840
45,18.4,9.48,2.81,75.69,360-7404
27.25,18.83,11.77,1.51,59.36,411-5740
16.3,13.56,6.88,2.81,39.55,412-3726
23.92,16.59,11.38,3.16,55.05,372-7326
20.35,19.7,10,1.24,51.29,338-9873
16.98,22.4,11.46,2.65,53.49,383-4322
42.65,14.57,6.69,2.59,66.5,401-7654
34.1,24.61,4.42,3.02,66.15,410-5455
35.67,16.71,10.49,1.89,64.76,419-4310
33.66,23.26,9.81,2.05,68.78,367-2056
40.77,10.96,11.25,3.05,66.03,363-6695
27.97,12.57,11.37,3.02,54.93,374-6217
37.55,16.34,7.25,3.29,64.43,337-9569
19.18,20.73,8.04,3.56,51.51,350-9720
19.14,22.24,5.56,3,49.94,380-4080
38.49,19.95,6.01,2.92,67.37,333-7460
41.63,18.67,9.49,2.62,72.41,378-3722
34.54,20.04,10.12,4.08,68.78,353-9339
23.24,20.66,8.5,2.32,54.72,386-6535
25.94,17.76,5.36,1.35,50.41,403-5575
46.73,15.86,11.03,2.38,76,331-5962
33.27,17.77,9.05,2.24,62.33,390-9627
34.73,16.05,6.27,2.48,59.53,406-4560
37.79,12.43,12.4,2.4,65.02,359-6931
37.83,14.58,16.99,2.62,72.02,331-7342
21.9,13.37,6.63,2.78,44.68,367-2227
29.63,14.56,9.94,2.24,56.37,335-8836
41.23,13.8,8.28,2.11,65.42,398-6703
37.67,24.24,7.53,3.43,72.87,370-8379
19.43,18.79,5.68,2.94,46.84,335-3880
37.35,15.88,8.3,2.57,64.1,375-8761
24.63,12.86,11.36,3.32,52.17,367-1398
40.21,9.95,9.95,2.19,62.3,395-7857
29.58,17.8,10.08,3.81,61.27,398-8745
18.62,28.23,11.64,1.78,60.27,386-3717
13.87,20.03,6.79,2.67,43.36,330-1175
22.68,10.29,11.46,1.59,46.02,418-6752
23.31,17.83,10.73,2.32,54.19,349-6464
33.49,16.18,9.54,4.35,63.56,366-7331
33.68,13.32,8.19,2.51,57.7,361-8288
6.72,22.47,8.36,2.7,40.25,377-6635
33.92,17.64,3.78,2.19,57.53,408-1513
26.66,18.34,10.05,2.05,57.1,370-7546
31.18,20.2,10.26,2.43,64.07,389-4278
22.51,10.34,8.9,2.32,44.07,379-3012
10.74,18.72,8.28,1.38,39.12,355-3620
30.79,18.35,9.73,4.56,63.43,413-7743
19.98,17.58,8.75,1.13,47.44,372-2296
37.18,13.89,7.82,4.05,62.94,333-9728
35.24,11.67,5.21,1.59,53.71,415-6110
25.6,25.63,7.14,2.19,60.56,340-9803
46.46,22.41,7.43,3.24,79.54,400-7002
45.24,15.47,9.29,2.78,72.78,395-7435
19.18,13.32,11.23,4.4,48.13,336-7143
17.8,6.99,7.62,4.27,36.68,352-2175
32.95,16.8,9.85,1.59,61.19,346-6352
28.66,25.33,8.76,2.65,65.4,405-7467
43.04,17.09,8.79,2.62,71.54,379-8526
29.7,19.73,13.74,2.4,65.57,410-5713
14.79,16.46,9.26,2.97,43.48,408-5916
34.77,11.29,8.55,4,58.61,370-5626
38.51,12.93,7.4,2.54,61.38,408-1331
39.8,13.86,12.71,2.7,69.07,419-9688
22.66,15.55,10.85,3.48,52.54,343-5219
22.76,14.14,8.71,4.16,49.77,401-5586
27.23,11.81,14.06,2.62,55.72,377-9178
39.2,19.05,10.98,3,72.23,345-5639
38.66,14.96,9.27,1.7,64.59,336-3488
12.38,22.7,10.01,3.19,48.28,414-6426
33.34,25.2,9.52,1.89,69.95,335-5591
33.51,14.1,10.23,3.46,61.3,421-9144
37.33,25.78,6.95,2.62,72.68,422-7728
26.08,12.87,6.92,3.46,49.33,344-3466
36.72,15.89,9.48,1.32,63.41,398-7978
37.89,22.27,8.61,2.92,71.69,346-8368
19.7,20.11,11.48,3.16,54.45,392-2722
32.27,12.55,7.77,2.86,55.45,393-3274
26.3,25.33,9.46,3,64.09,339-4636
23.19,17.21,10.38,3.11,53.89,349-7138
28.99,23.59,7.31,3.29,63.18,363-3295
46.31,9.17,8.35,3.43,67.26,407-9830
35.7,19.78,7.6,1.59,64.67,333-8822
40.21,13.86,10.65,3.29,68.01,419-6418
26.16,18.71,12.62,2.3,59.79,351-8955
37.91,19.3,8.47,2.38,68.06,338-1840
42.91,14.27,11.17,2.89,71.24,336-6997
33.64,14.29,10.79,3.24,61.96,408-6266
25.91,23.34,11.35,1.78,62.38,332-4291
40.36,14.95,9.46,2.48,67.25,355-7895
45.15,15.36,9.5,2.32,72.33,348-2916
33.54,25.99,7.69,1.81,69.03,339-8132
33.85,18.85,2.96,1.13,56.79,374-1684
39.73,17.67,9.57,3.24,70.21,362-7604
31.13,13.61,14.03,1.89,60.66,389-3206
23.7,12.19,10.13,2.7,48.72,336-2829
36.36,22.14,10.52,2.27,71.29,403-8916
35.21,17.01,8.74,3.35,64.31,384-1135
23.75,17.22,9.16,3.05,53.18,390-2320
30.12,19.44,8.74,2.4,60.7,398-8578
28.87,14.76,9.66,2.57,55.86,393-9424
29.5,20.77,9.97,2.62,62.86,417-6330
27.18,14.64,11.84,1.51,55.17,340-6339
19.57,16.73,9.56,3.08,48.94,380-6571
23.26,15.26,3.2,3.38,45.1,368-6488
15.67,17.95,5.81,3.54,42.97,363-2193
41.46,11.31,9.62,3.62,66.01,328-1206
19.91,20.01,9.96,2.43,52.31,385-3540
37.96,14.2,9.14,1.22,62.52,337-7167
26.32,14.58,10.23,2.86,53.99,372-8405
44.44,18.33,12.23,2.16,77.16,377-1273
7.91,15.81,7.54,2.59,33.85,380-7816
25.48,14.53,7.72,3.11,50.84,402-6744
41.17,19.22,11.34,3.75,75.48,400-2181
44.1,14.68,13.22,2.89,74.89,366-1613
37.81,15.79,10.7,3.24,67.54,347-8205
11.8,16.22,9.9,2.4,40.32,328-2982
26.61,17.78,7.14,3,54.53,384-8723
10.4,7.85,8.88,3.7,30.83,341-7686
41.68,8.63,6.85,2.89,60.05,353-6038
17.39,11.49,8.99,4.24,42.11,416-8827
39.25,14.25,12.15,2.05,67.7,418-8450
38.66,17.98,11.62,3.21,71.47,385-7861
32.78,13.43,10.6,3.43,60.24,393-3507
27.64,17.53,6.37,2.21,53.75,372-5262
37.3,15.34,4.68,2.97,60.29,411-3095
23.32,14.1,8.2,3.86,49.48,331-5919
14.91,23.65,7.68,2.84,49.08,402-1556
46.09,14.62,7.61,2.78,71.1,349-7362
17.58,16.09,10.22,3.89,47.78,339-2734
8.87,18.71,5.05,3.08,35.71,330-4914
28.12,23.26,9.45,2.35,63.18,371-2500
25.08,16.29,6.08,4.43,51.88,335-3681
37.03,18.25,10.29,3.05,68.62,405-1132
40.07,11.64,9.94,3.59,65.24,399-9239
34.77,11.87,9.23,2.32,58.19,350-7227
30.33,21,11.7,2.59,65.62,384-6654
22.12,21.01,13.02,3.65,59.8,376-4271
17.63,20.09,11.55,4,53.27,391-8124
40.78,15.05,9.77,1.59,67.19,393-2524
25.23,22.7,6.82,2.4,57.15,384-4385
25.26,17.92,9.17,2.7,55.05,377-8266
32.49,10.98,9.34,3.48,56.29,345-1243
37.15,9.58,9.23,1.97,57.93,394-8086
16.58,16.64,13,0,46.22,348-9145
21.88,10,8.93,2.92,43.73,376-5201
40.22,16.79,9.43,2.57,69.01,356-2093
14.6,19.27,12.58,4.21,50.66,353-2080
24,14.25,12.35,3.08,53.68,397-7500
33.05,14.96,10.35,3.11,61.47,414-5786
28.49,13.13,12.66,4.67,58.95,388-4282
39.87,13.96,8.61,1.65,64.09,415-5132
26.21,16.72,11.41,2.73,57.07,352-4541
24.34,14.44,9.97,3.13,51.88,373-5928
36.79,21.22,8.37,3.43,69.81,406-7737
27.52,12.85,8.59,2.3,51.26,332-7607
20.18,17.43,7.75,2.81,48.17,359-7788
30.45,16.71,8.4,2.75,58.31,384-1549
25.14,17.79,7.29,2.38,52.6,352-8508
35.56,9.91,4.93,4.46,54.86,404-1002
41.53,27.4,7.51,2.86,79.3,414-2905
29.8,22.3,6.48,1.51,60.09,380-9849
25.59,10.23,12.2,2.43,50.45,387-6498
33.56,25.13,9.53,3.56,71.78,360-6024
27.8,12.21,11.4,3.4,54.81,352-5815
40.27,16.8,13.91,3.08,74.06,366-2273
13.99,14.21,8.76,1.94,38.9,414-9119
36.72,13.06,10.22,3.43,63.43,409-8796
30.6,16.9,9.77,3.35,60.62,337-2442
24.43,14.71,10.76,1.57,51.47,404-1931
33.69,23.83,5.83,3.05,66.4,367-9765
31.55,18.67,6.84,3,60.06,378-7299
23.39,13.77,8.45,1.57,47.18,410-5192
46.56,23.68,11.49,2.94,84.67,405-1108
21.3,12,7.57,1.7,42.57,392-1734
30.4,14.27,8.05,2.32,55.04,395-6030
36.53,16.85,7.69,2.21,63.28,330-5168
27.71,17.33,7.15,4.08,56.27,334-3142
27.85,11.47,3.57,2.38,45.27,362-9983
32.22,17.42,9.98,3.62,63.24,414-2606
26.38,19.63,11.77,1.22,59,402-4501
41.19,29.83,7.34,3.05,81.41,387-2604
43.2,15.32,8.83,2.35,69.7,400-3343
19.04,17.68,6.76,3.05,46.53,353-2450
19.64,22.72,5.14,3.59,51.09,406-2032
23.31,17.92,8.61,3,52.84,409-4462
33.73,20.05,14.65,2.73,71.16,392-5941
22.56,17.39,6.96,3.48,50.39,334-9182
37.33,17.88,10.92,3.73,69.86,346-3445
28.83,19.95,12.84,3.02,64.64,368-9507
27.27,24.98,13.8,3.4,69.45,382-3966
16.15,14.27,9.03,3.02,42.47,334-5844
27.22,21.82,12.15,1.89,63.08,362-9411
33.08,19.79,7.8,1.03,61.7,390-3565
40.19,24.42,8.64,3.73,76.98,417-4810
26.71,18.11,12.62,2.05,59.49,384-3389
30.57,14.72,12.28,2.94,60.51,414-9717
25.19,13.75,11.67,2.97,53.58,357-1700
31.14,17.8,7.76,3.21,59.91,376-7207
20.26,14.31,9.21,3.29,47.07,368-7706
38.08,16.32,7.34,2.59,64.33,346-4216
3.32,11.98,8.09,2.13,25.52,370-9533
31.42,21.13,5.99,2.59,61.13,372-1493
29.97,17.09,7.29,3.05,57.4,387-6031
41.09,14.32,7.64,3,66.05,366-6248
38.2,24.99,13.05,2.65,78.89,369-3756
35.24,16.86,5.13,2.32,59.55,363-1719
33.46,14.28,5.97,3.43,57.14,402-6666
18.85,9.83,8.57,4.27,41.52,408-9779
20.83,23.23,8.9,2.16,55.12,407-2441
38.57,17.14,5.86,3.56,65.13,384-5027
31.79,12.02,10.72,2.7,57.23,380-3161
28.99,16.42,8.46,3.02,56.89,360-8135
34.82,13.69,12.86,2.57,63.94,399-5426
28.2,20.05,9.45,3.24,60.94,385-2564
26.18,16.91,6.84,2.57,52.5,337-8618
26.88,27.39,9.45,2.4,66.12,354-8491
38.28,18.28,10.88,2.46,69.9,394-6278
27.1,15.26,7.55,2.62,52.53,405-2276
29.36,11.82,7.84,3.16,52.18,376-1000
37.88,14.94,9.09,2.97,64.88,397-1659
36.4,20.44,8.5,2.73,68.07,379-3953
9.32,14.71,8.78,2.03,34.84,418-6512
22.78,14.83,14,1.97,53.58,392-5296
31.42,14.88,7.12,2.84,56.26,355-3814
48.13,24.33,11.78,3.05,87.29,375-2098
49.61,18.22,6.8,2.67,77.3,372-7990
37.86,8.99,9.67,3.65,60.17,356-4558
29.67,20.13,12.17,2.3,64.27,398-5788
11.63,16.43,7.72,2.81,38.59,390-4003
46.41,18.32,4.71,2.59,72.03,332-8103
38.3,9.2,6.28,4.67,58.45,406-9926
48.14,13.82,8,1.94,71.9,418-2402
22.34,18.67,7.01,3,51.02,384-3299
15.25,11.78,7.46,2.89,37.38,378-9090
21.61,21.05,9.35,1.35,53.36,350-6473
18,19.69,12.66,2.89,53.24,379-4583
24.19,13.43,7.99,1.62,47.23,411-5078
32.52,11.77,11.07,1.73,57.09,347-4982
34.32,13.29,5.91,3.7,57.22,341-9274
42.04,15.53,6.44,3.97,67.98,353-7461
41.17,13.57,9.45,2.4,66.59,371-7366
21.64,18.9,7.83,3.7,52.07,395-7923
27.54,20.5,9.47,2.94,60.45,351-8398
30.45,20.26,7.46,2.86,61.03,329-2204
33.56,10.49,5.2,3.32,52.57,407-7507
25.19,26.24,10.59,1.73,63.75,405-8075
32.83,14.63,5.83,2.75,56.04,390-9698
29.19,14.86,8.53,2.11,54.69,403-4917
33.75,23,9.45,2.19,68.39,391-6709
20.69,15.64,12,3.43,51.76,389-5988
22.13,23.63,13.74,3.78,63.28,372-1534
34.58,14.33,7.79,3.7,60.4,395-6369
29.7,23.87,7.73,2.84,64.14,400-3197
40.97,19.7,9.91,2.67,73.25,377-4169
24.09,18.79,10.22,2.75,55.85,384-5343
22.92,14.21,7.27,2.08,46.48,338-4472
27.73,21.2,7.57,2.43,58.93,332-2126
24.74,19.41,12.3,2.4,58.85,349-2157
56.07,17.71,12.02,2.86,88.66,393-4823
33.07,15.84,8.02,3.43,60.36,385-2683
22.42,23.18,8.68,1.92,56.2,345-8350
25.5,13.55,10.26,2.3,51.61,334-4506
33.42,20.52,10.17,3.48,67.59,332-3544
