international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,phone number
no,no,0.008,0.01,0,160.1,87,256.7,120,270,107,7,1,362-9411
no,no,0.013,0.005,0,194.6,114,232.8,106,173.4,92,3.8,2,390-3565
no,no,0.029,0.034,0,236.4,73,287.3,120,192,94,13.8,4,417-4810
no,no,0.011,0.01,0,157.1,95,213.1,36,280.4,77,7.6,3,384-3389
no,no,0.013,0.013,0,179.8,125,173.2,86,272.8,97,10.9,4,414-9717
yes,no,0.02,0,0,148.2,108,161.8,113,259.3,103,11,4,357-1700
no,yes,0.018,0.003,39,183.2,103,209.4,111,172.4,109,11.9,6,376-7207
no,no,0.037,0.038,0,119.2,88,168.3,110,204.7,119,12.2,6,368-7706
no,yes,0.017,0.002,35,224,102,192,99,163.1,100,9.6,2,346-4216
no,yes,0.015,0.001,21,19.5,149,140.9,109,179.7,111,7.9,1,370-9533
no,no,0.02,0.006,0,184.8,83,248.6,101,133.1,113,9.6,8,372-1493
no,no,0.019,0.002,0,176.3,140,201,104,161.9,123,11.3,5,387-6031
no,no,0,0.015,0,241.7,115,168.5,133,169.8,122,11.1,2,366-6248
no,yes,0.018,0.004,38,224.7,121,294,131,290,61,9.8,6,369-3756
no,no,0.002,0.015,0,207.3,115,198.4,82,114.1,83,8.6,4,363-1719
no,no,0.01,0.002,0,196.8,81,168,110,132.6,98,12.7,7,402-6666
no,no,0.019,0.016,0,110.9,74,115.6,90,190.5,114,15.8,9,408-9779
no,no,0,0.012,0,122.5,145,273.3,103,197.8,71,8,3,407-2441
no,no,0.014,0.002,0,226.9,144,201.6,122,130.2,121,13.2,5,384-5027
no,no,0.003,0.007,0,187,65,141.4,128,238.2,108,10,8,380-3161
no,no,0,0.005,0,170.5,113,193.2,129,188,91,11.2,6,360-8135
no,no,0.008,0.011,0,204.8,101,161,80,285.7,89,9.5,3,399-5426
no,no,0.006,0.002,0,165.9,114,235.9,97,210.1,120,12,5,385-2564
no,no,0.009,0.022,0,154,133,198.9,121,151.9,100,9.5,3,337-8618
no,yes,0.013,0.013,29,158.1,104,322.2,81,210,96,8.9,6,354-8491
no,no,0.005,0.013,0,225.2,93,215.1,120,241.8,95,9.1,2,394-6278
no,no,0.051,0.025,0,159.4,79,179.5,88,167.8,71,9.7,2,405-2276
no,no,0.001,0.012,0,172.7,95,139.1,90,174.3,99,11.7,1,376-1000
no,no,0.019,0.013,0,222.8,99,175.8,85,202,111,11,3,397-1659
yes,no,0.011,0.001,0,214.1,77,240.5,94,188.9,75,10.1,3,379-3953
no,no,0.012,0.003,0,54.8,92,173,103,195.1,125,7.5,3,418-6512
no,no,0.008,0.008,0,134,104,174.5,94,311.1,79,7.3,3,392-5296
no,no,0.019,0.016,0,184.8,74,175.1,84,158.2,95,10.5,6,355-3814
no,yes,0.015,0.009,36,283.1,112,286.2,86,261.7,129,11.3,3,375-2098
no,no,0.066,0.03,0,291.8,143,214.3,134,151.2,119,9.9,2,372-7990
no,no,0.013,0.008,0,222.7,94,105.8,98,214.8,78,13.5,4,356-4558
no,no,0.019,0.001,0,174.5,79,236.8,136,270.4,110,8.5,5,398-5788
no,no,0.019,0.015,0,68.4,86,193.3,110,171.5,139,10.4,4,390-4003
no,yes,0.019,0.015,31,273,78,215.5,98,104.7,114,9.6,2,332-8103
yes,no,0.009,0.01,0,225.3,134,108.2,87,139.6,132,17.3,9,406-9926
no,yes,0,0.003,23,283.2,130,162.6,74,177.7,104,7.2,6,418-2402
yes,no,0.067,0.028,0,131.4,78,219.7,106,155.7,103,11.1,2,384-3299
no,yes,0,0.014,12,89.7,87,138.6,73,165.8,114,10.7,2,378-9090
no,no,0.005,0,0,127.1,102,247.7,106,207.7,75,5,3,350-6473
no,yes,0.019,0.007,28,105.9,132,231.7,107,281.3,120,10.7,5,379-4583
no,no,0.003,0.014,0,142.3,79,158,113,177.5,75,6,11,411-5078
no,no,0.004,0.009,0,191.3,80,138.5,94,246,107,6.4,3,347-4982
no,yes,0.014,0.013,36,201.9,93,156.3,75,131.3,92,13.7,5,341-9274
no,no,0.007,0.002,0,247.3,91,182.7,60,143.2,112,14.7,2,353-7461
no,yes,0,0.014,38,242.2,96,159.7,144,210,108,8.9,1,371-7366
yes,no,0.04,0.026,0,127.3,80,222.3,115,173.9,95,13.7,5,395-7923
no,no,0.007,0.011,0,162,104,241.2,120,210.4,83,10.9,7,351-8398
no,yes,0.008,0.007,33,179.1,93,238.3,102,165.7,96,10.6,1,329-2204
no,yes,0.016,0.006,31,197.4,125,123.4,110,115.6,101,12.3,4,407-7507
no,no,0.018,0.011,0,148.2,82,308.7,67,235.4,79,6.4,4,405-8075
no,no,0.014,0.004,0,193.1,85,172.1,105,129.6,119,10.2,1,390-9698
no,no,0.017,0.013,0,171.7,99,174.8,87,189.6,130,7.8,6,403-4917
no,yes,0.012,0,35,198.5,123,270.6,74,209.9,130,8.1,10,391-6709
no,yes,0,0.001,24,121.7,87,184,76,266.6,98,12.7,3,389-5988
no,no,0.019,0.007,0,130.2,105,278,60,305.4,74,14,6,372-1534
no,no,0.001,0.016,0,203.4,96,168.6,61,173,105,13.7,3,395-6369
no,no,0,0.003,0,174.7,83,280.8,122,171.7,80,10.5,8,400-3197
yes,no,0.037,0.037,0,241,120,231.8,96,220.2,67,9.9,1,377-4169
no,no,0.007,0.013,0,141.7,95,221,100,227.1,71,10.2,3,384-5343
no,no,0.012,0.014,0,134.8,96,167.2,78,161.5,123,7.7,5,338-4472
no,no,0.007,0.002,0,163.1,119,249.4,51,168.2,77,9,10,332-2126
no,no,0.001,0.012,0,145.5,116,228.4,110,273.4,91,8.9,8,349-2157
no,no,0.048,0.019,0,329.8,73,208.3,120,267.1,102,10.6,6,393-4823
no,no,0.001,0.012,0,194.5,97,186.3,131,178.3,106,12.7,1,385-2683
no,no,0.001,0.016,0,131.9,93,272.7,106,192.8,105,7.1,4,345-8350
no,yes,0.019,0.003,29,150,91,159.4,75,228.1,55,8.5,3,334-4506
no,yes,0.004,0.016,30,196.6,93,241.4,140,226,118,12.9,4,332-3544
no,no,0.015,0.002,0,99.7,107,145.1,96,149.4,99,14.1,4,380-5102
no,no,0.011,0.011,0,143.6,88,141.8,86,194,83,10.8,5,395-6149
no,yes,0.002,0.01,40,231.9,56,211.8,91,268.5,74,12.3,3,398-8122
no,no,0.012,0.001,0,37.8,80,155.3,105,175,111,14.2,5,334-4438
no,no,0.019,0.014,0,72.8,107,186.4,103,175.3,110,10.5,4,384-7459
no,yes,0.003,0.007,39,94.8,89,219.1,91,197.4,65,11.4,5,368-3931
no,yes,0.013,0.008,15,221.8,143,210.6,115,221.8,109,12.4,9,353-1352
no,no,0.019,0.013,0,269,120,233.7,120,179.3,61,7.3,4,348-5725
no,no,0.043,0.021,0,268.3,114,185.5,111,264.6,88,6.3,7,365-2008
no,yes,0.005,0.011,27,198.7,127,249,105,173.2,124,12.5,5,393-3635
no,no,0.054,0.032,0,115.5,75,218.1,111,254.9,98,11.5,7,380-8727
no,no,0.013,0.007,0,202.1,100,195.7,102,291.8,120,13.3,5,381-2376
no,no,0.002,0.006,0,215.6,113,200.6,81,153.8,107,12.4,6,365-8114
no,no,0.016,0.005,0,169.9,107,209.4,121,206.1,79,11.5,2,415-5008
no,no,0.008,0.013,0,201.7,85,169.4,116,286.3,80,6,4,392-8318
no,no,0,0.014,0,221.1,133,160.2,140,161.8,84,8.4,3,401-4007
no,yes,0.02,0.006,32,218.7,117,115,61,192.7,85,9.4,5,338-7709
no,no,0.054,0.036,0,293.7,89,272.5,71,178.2,76,11,10,374-1981
no,no,0.036,0.033,0,120.3,108,240.4,84,216.4,74,7.7,3,333-5101
no,yes,0.016,0.004,26,175.8,96,206.6,84,178,105,11.1,2,345-3734
no,no,0.012,0.011,0,278.5,95,240.7,90,120,90,11.6,5,384-5004
no,yes,0.014,0.011,29,236.3,105,190.8,114,129,105,7.2,2,341-9396
no,no,0.004,0.004,0,273.8,113,119.6,156,267.6,117,11.7,3,408-6302
no,no,0.061,0.014,0,131.1,129,160.5,94,206.9,88,5.6,9,348-7193
no,yes,0.015,0.002,23,167.4,83,258.6,129,116.4,110,11.2,3,417-4063
no,no,0.002,0.009,0,197.7,68,250.5,53,181.2,67,10.5,3,375-6911
no,no,0.002,0.011,0,169.5,93,230.9,71,269.8,115,9,7,358-3604
yes,yes,0.02,0.004,17,225.2,116,173.4,88,145.8,99,11.7,4,339-7485
no,no,0.004,0.013,0,174.5,73,213.7,114,164.7,116,10.3,5,368-3078
no,no,0.014,0.03,0,129.7,84,177.5,80,228.9,87,7.5,3,418-7055
no,no,0.009,0.005,0,200,66,107.9,104,233.7,82,11.4,2,386-9981
no,yes,0.011,0.016,36,95.9,87,261.6,105,228.6,109,13.3,4,366-2541
no,yes,0.016,0.001,25,152.8,110,242.8,67,147.4,74,9.1,2,335-3110
no,no,0.003,0.008,0,129.9,102,208.7,133,231.4,93,14.3,3,400-7809
yes,no,0.04,0.011,0,268.4,85,150.6,131,297.9,84,9.7,8,404-3106
no,no,0.01,0.003,0,188.5,152,148.3,115,179.8,88,15.2,5,333-2337
no,no,0.011,0.007,0,170.6,97,162.1,111,210.7,131,6.1,1,353-6482
no,no,0.014,0.01,0,191.4,124,200.7,116,230.1,76,8.2,3,397-8162
no,no,0.008,0.008,0,75.3,96,179.9,113,193.8,134,12.3,1,380-6722
no,no,0.006,0.01,0,149.8,123,276.3,75,241.4,75,10.9,7,329-2918
no,no,0.003,0.012,0,115.9,87,111.3,56,170.2,77,7.1,4,348-8022
no,no,0.006,0.005,0,128.8,86,203.9,105,282.6,131,14.1,4,388-4459
no,no,0.002,0.007,0,131.7,108,216.5,103,196.1,126,11,5,358-3114
no,no,0.003,0.007,0,101.4,48,159.1,119,259.2,53,12.2,2,343-9654
no,yes,0.009,0.012,23,149,104,235.8,67,201.8,76,9.5,5,401-9909
no,yes,0.018,0.006,36,96.8,123,170.6,105,166,85,13.4,4,404-9978
no,no,0.015,0.011,0,107.5,121,256.4,46,247.2,131,12.6,3,397-8011
no,no,0.045,0.01,0,232.8,95,303.4,111,255.6,104,12.9,7,341-8719
no,yes,0.011,0.012,43,121.1,105,260.2,115,222.4,100,8.3,5,408-1242
no,no,0.007,0.006,0,124.3,70,270.7,99,239.5,83,3.5,6,406-7726
no,no,0.009,0.003,0,157.7,101,298.6,100,216.9,99,13.8,3,351-2773
no,no,0.007,0.007,0,124.3,68,207.1,88,157.4,93,14.8,1,368-6174
no,no,0.008,0.014,0,286.4,125,205.7,74,191.4,141,6.9,6,334-5029
no,no,0.008,0.014,0,141.7,95,205.6,101,218.5,60,8.8,6,413-1789
no,yes,0.007,0.011,25,173,91,245.8,64,300,99,4.8,3,414-1246
no,no,0.059,0.024,0,268.7,120,301,147,167,140,5.8,1,330-4978
no,yes,0.014,0,31,218.5,130,134.2,103,118.9,105,9.4,6,386-1631
no,no,0.012,0.008,0,255.3,114,194.6,83,276.6,78,3.7,5,363-1208
no,no,0.005,0.012,0,41.9,124,211,95,237.9,55,11.4,5,334-5263
no,no,0.01,0.014,0,260.8,87,258.1,78,131.3,123,5.8,2,361-4137
no,yes,0.016,0.013,26,239.4,94,259.4,88,238,132,7.7,3,374-8187
no,no,0.02,0.004,0,226.7,94,168.4,129,188.7,117,10.2,1,370-1525
no,no,0.044,0.013,0,179.3,147,208.9,89,248.2,98,13.5,6,355-3801
no,no,0.017,0.008,0,158,110,197,103,154.9,132,10,5,392-5605
no,yes,0.008,0.013,23,175.7,82,258.9,136,268.4,154,14.1,7,363-1366
no,no,0.018,0.011,0,157.4,107,167.8,112,188.8,102,8.8,3,358-5274
no,no,0.061,0.027,0,113.1,74,168.8,95,262.9,126,6.9,2,376-9607
no,no,0.009,0.009,0,182.7,142,246.5,63,218,103,8.8,2,374-1213
yes,no,0.059,0.018,0,161.3,83,124.4,83,262,98,14.1,3,421-8537
no,no,0.011,0.014,0,142.5,92,208.3,102,228.9,120,7.5,2,351-5576
yes,no,0.005,0.035,0,190.5,108,259.7,108,141.5,111,9.7,2,407-7258
yes,yes,0.003,0.004,15,159.3,110,170.6,120,141.2,82,11.9,5,405-4420
yes,yes,0.02,0.008,39,153.8,106,123.3,111,117.8,103,9.2,6,340-2855
yes,no,0.002,0.016,0,180.7,127,174.6,94,165.3,114,12,6,342-8002
no,no,0.006,0.008,0,202.7,105,224.9,90,253.9,108,12.1,7,355-6826
no,yes,0.015,0.009,35,190.8,100,261.3,93,209.5,108,8.9,6,402-3886
no,no,0.02,0.01,0,205.1,102,232.7,109,259.9,95,9.2,6,336-5900
no,yes,0.006,0.004,28,235.6,124,236.8,113,241.2,127,7.7,2,339-7684
no,no,0.005,0.009,0,189.3,77,155.9,128,186,83,7.4,3,390-2433
no,yes,0.006,0.009,42,166.9,101,273.2,84,171,106,11.5,1,360-7246
no,no,0.058,0.025,0,245.2,87,254.1,83,239.4,91,7.5,4,335-6508
no,no,0.029,0.017,0,132.6,125,221.1,67,127.9,101,12.7,2,348-6720
no,no,0.001,0.012,0,182.3,64,139.8,121,171.6,96,11.6,7,406-6400
no,yes,0.015,0.016,14,192.3,86,88.7,90,229.4,120,10.5,3,390-7370
yes,no,0.061,0.022,0,122,110,220.2,100,179.7,124,10.8,2,390-5055
no,no,0.016,0.006,0,193,101,250,81,133.3,79,9.6,2,405-7542
no,no,0.015,0.004,0,158.6,112,220,114,252.9,106,9.1,3,364-4927
no,yes,0.016,0.013,39,91.5,125,219.9,113,229,99,12.7,8,329-3458
no,no,0.011,0.013,0,153.6,92,205.5,88,114.5,89,12.5,10,331-3842
yes,yes,0.002,0.012,40,221.6,79,157.1,74,222.4,124,11.5,3,343-4147
no,no,0.011,0.015,0,244.7,81,168,117,281.5,87,6.6,1,335-2274
no,yes,0.01,0.001,24,239.8,103,285.9,65,256.7,106,9.5,4,343-3227
no,no,0.014,0.004,0,172.4,132,230.5,100,228.2,109,11,5,336-6907
no,no,0.044,0.019,0,242.5,83,245.4,97,219.6,80,10,3,331-1391
no,yes,0.013,0.016,39,117.6,82,159.2,60,236.4,113,11.3,10,360-1643
no,no,0.003,0.008,0,174.5,127,259.3,71,170.5,120,11.3,7,410-2518
no,no,0,0.004,0,157.3,83,220.9,85,218.9,129,12,7,344-4970
no,yes,0.006,0.012,21,192,97,239.1,81,116.1,125,15.1,3,408-1486
no,no,0.01,0,0,218.2,76,169.3,60,141.1,99,8,1,396-1648
no,yes,0.008,0.004,29,144.6,97,140,102,165.4,148,10.9,3,391-2022
yes,no,0.054,0.017,0,153.6,108,232.9,85,214.2,92,14.1,4,420-6465
no,yes,0.015,0.001,29,135.8,104,222.5,101,235.6,92,7.9,6,398-2628
no,no,0.009,0.005,0,160.7,69,146.8,106,287.8,144,8.2,5,409-5519
no,yes,0.007,0.014,31,202.5,91,241.4,108,169.6,77,7.8,2,391-8554
no,yes,0.018,0.012,34,152.2,119,227.1,91,195.7,103,12.3,5,395-1693
no,no,0.011,0.015,0,227.4,90,73.2,135,114.3,99,4.7,7,393-3194
no,no,0.014,0.008,0,191.6,115,205.6,108,210.2,123,9.2,3,328-3402
no,no,0.017,0.012,0,138.9,111,211.6,102,179.5,91,10.8,3,411-4781
no,no,0.003,0.007,0,127,102,206.9,107,231.7,99,6.1,6,401-2581
no,no,0.01,0.016,0,168.6,87,259.2,105,279.8,123,7.3,4,385-1214
no,no,0.052,0.037,0,286.6,73,223.2,108,203.7,107,11.5,5,348-6853
no,yes,0.006,0.012,29,164.6,121,262.8,108,123.8,131,15.2,4,341-8412
no,no,0.002,0.012,0,144,90,135.8,91,212.4,129,13,4,330-8142
no,yes,0.015,0.008,47,141.6,95,207.9,130,203.6,95,10.2,11,361-1404
no,no,0.02,0.013,0,204.3,65,247.3,123,214.7,94,12,4,375-9671
no,no,0.018,0.001,0,163.2,80,167.6,90,87.5,90,6.2,10,372-1824
no,no,0.016,0.006,0,225,110,244.2,111,221.2,93,10.7,4,408-3606
no,no,0.017,0.002,0,176.1,103,199.7,130,263.9,96,8.5,6,333-3595
no,yes,0.009,0.013,36,254.2,78,228.1,105,98,125,13.8,7,379-7009
no,no,0.014,0.014,0,174.9,105,262,75,210,93,8.5,5,411-4940
yes,no,0.016,0.024,0,187.3,118,160.7,111,263.8,112,9.6,2,409-7523
no,no,0.019,0.013,0,211.8,84,230.9,137,217.1,99,10.7,9,408-6725
no,no,0.001,0.006,0,241.9,102,126.9,117,185.6,92,11.7,6,350-2384
no,no,0.009,0.007,0,196.1,103,199.7,123,135.9,71,12.9,1,348-1706
no,no,0.003,0.001,0,231.3,100,210.4,84,217.4,106,12.4,2,415-6145
no,no,0.011,0.015,0,161.6,104,196.3,119,294.8,111,13.8,2,373-3731
no,no,0.003,0.015,0,194,103,241,116,227.5,153,11.9,5,341-3349
no,no,0.003,0.012,0,109.7,148,223.8,87,240.3,96,15.4,8,399-8859
yes,no,0.002,0.003,0,277,119,238.3,106,94.4,96,8.3,3,377-4518
no,no,0.009,0.005,0,192.1,83,163.6,88,169.7,138,6.1,3,341-1594
no,no,0.014,0.003,0,198.4,147,216.9,121,112.8,125,13.1,4,418-8770
no,yes,0.012,0.01,42,209.2,82,159.7,74,181.6,100,9.5,3,332-9118
no,no,0.009,0.007,0,184.8,98,216.4,125,141.1,116,18.4,3,386-1418
no,no,0.019,0.015,0,167.8,119,142,123,190.7,128,7.3,4,393-3535
no,no,0.005,0.003,0,139.2,140,191.4,113,286.5,125,11.8,3,328-9006
no,yes,0.006,0.007,17,221.3,82,167.6,100,262.7,87,4.4,4,402-2482
no,no,0.002,0.013,0,121.6,84,165.3,115,243.9,95,8.9,2,408-4865
no,yes,0.019,0.005,39,270.4,99,245.1,110,108.9,113,15.4,7,396-6247
no,no,0.001,0.01,0,139.6,94,240.9,112,127.1,88,8.8,4,396-9462
no,yes,0.014,0.012,23,253,78,138.9,121,277.8,104,11.8,3,396-9279
no,yes,0.014,0.008,26,183.9,83,240.7,93,185.7,125,15,3,363-8715
no,no,0.006,0.001,0,203.3,108,259.9,66,115.9,103,7.8,2,356-1358
no,no,0.007,0.015,0,200.6,106,152.5,127,199.4,128,7.7,2,360-7839
no,no,0.007,0.008,0,167.6,96,176,89,250.9,113,13.4,6,364-8774
no,no,0,0.01,0,156.5,67,204.3,103,141.9,72,9.9,2,348-5038
no,yes,0.004,0.002,25,215.1,140,197.4,69,162.1,117,10.6,10,365-4728
no,no,0.004,0.001,0,301.7,82,167.1,118,72.2,89,10.5,6,351-9037
no,yes,0.012,0.008,42,152.3,90,267.5,102,266.9,130,11.3,5,397-9184
no,no,0.011,0.002,0,195.4,116,212.1,101,138.4,134,15.1,11,398-4538
no,no,0.008,0.003,0,208.7,97,275.5,83,182.5,122,8,3,382-6827
no,yes,0.003,0.015,29,190.1,87,223.2,123,256.2,130,14.2,6,408-1340
no,yes,0.001,0.008,37,185.4,87,178.5,128,218.3,107,8,3,333-9511
no,yes,0.002,0.009,17,183.2,95,252.8,125,156.7,95,9.7,3,358-7379
yes,no,0.013,0.014,0,54.2,100,303.2,84,171.8,84,8.6,2,397-1766
no,yes,0.017,0.015,26,208,115,185,113,177.7,144,8.1,9,331-2144
no,no,0.001,0.008,0,230.3,110,77.9,87,247.1,105,13.2,4,345-7014
no,yes,0.008,0.016,22,240.8,102,75.9,106,224.6,115,7.1,3,395-1898
no,yes,0.017,0.014,21,195.7,119,106.2,95,157.4,94,5.3,3,373-8920
no,no,0.04,0.015,0,276.1,82,201.1,106,231.3,73,8.9,4,373-8908
no,no,0.001,0.009,0,166.1,93,175.9,106,243.5,55,16.2,3,415-1203
no,yes,0.059,0.02,28,135.9,117,244.5,102,207.5,74,11.5,3,369-7017
yes,no,0.018,0.025,0,189.1,122,223.2,92,269,116,13.9,3,420-8435
no,yes,0.011,0,43,177.9,117,175.1,70,161.3,117,11.5,4,395-2579
no,yes,0,0.015,39,143.9,73,210.3,117,129.2,117,12.5,8,405-7850
yes,no,0.013,0.01,0,148.2,138,159.6,123,197.4,62,8.6,3,394-7710
no,no,0.016,0.026,0,287.1,115,159.3,99,216.8,86,13.9,1,342-4122
no,yes,0.056,0.013,26,179.7,144,218.1,129,212.3,105,9.3,8,340-1876
no,no,0.03,0.038,0,165.8,96,190,141,144,116,10.9,3,383-6095
no,yes,0.007,0.004,25,144.1,144,167.6,105,240,107,14.5,3,413-1061
no,no,0.015,0.014,0,172.5,85,253.1,71,221.6,113,5.9,6,343-5347
no,no,0.02,0,0,199.8,138,167.1,91,271.8,94,5.5,4,376-4861
no,no,0.019,0.005,0,109.1,134,142.3,76,91.2,86,10.9,5,417-2265
no,no,0.013,0.002,0,171.8,106,301.7,44,139.4,108,9.7,5,419-7415
no,no,0.046,0.029,0,222.3,101,286,111,249.4,117,12.1,4,407-2259
no,no,0.015,0.016,0,245.8,102,264.7,90,111.7,103,11.2,7,333-2906
no,no,0.011,0.011,0,164.6,110,270.6,103,230.4,109,8,3,360-7477
no,no,0.019,0,0,211.7,107,271.7,77,203.3,108,7.4,7,342-5243
yes,yes,0.018,0.025,16,147.2,103,160.1,96,184,120,7.7,2,417-3999
yes,no,0.055,0.03,0,254.7,103,252.2,80,178.1,103,8,3,379-1720
yes,no,0.008,0.014,0,170.1,113,271.8,94,110.7,78,8.7,4,368-3117
no,no,0.003,0.009,0,195.1,91,261.5,57,203.8,90,11.4,5,352-5000
no,no,0.056,0.025,0,149.3,83,187.1,130,149.8,100,7.9,4,405-7676
no,no,0.053,0.026,0,81.9,75,253.8,114,213.1,125,8.9,1,361-2349
yes,yes,0.017,0.005,25,191.1,109,149.6,120,227.8,60,9.8,3,383-2901
no,no,0.006,0.003,0,206.9,115,224.4,86,197.4,60,8.3,2,369-7049
no,no,0.033,0.034,0,239,156,273,106,278.2,93,13.5,8,387-5533
no,no,0.008,0.015,0,179.3,97,252.7,126,227.5,114,8,5,362-3660
no,no,0.011,0.015,0,185.3,91,219.1,88,243.6,107,5.5,5,357-3577
yes,no,0.016,0.004,0,141.4,80,123.9,76,323.5,88,8.1,3,394-3312
no,yes,0.011,0.009,25,248.6,91,119.3,115,194.3,83,12,1,395-8330
no,no,0.013,0.005,0,152.5,131,252.4,107,185.4,104,4.9,3,373-8895
no,no,0.006,0.01,0,145.6,102,230.9,87,181.5,86,11.4,7,386-4581
no,no,0.013,0.006,0,164.2,116,196.2,153,236.1,119,8.1,1,354-8191
yes,no,0,0.01,0,221,115,165.4,97,235.4,117,9.7,4,359-7562
no,no,0.048,0.027,0,295.4,126,232.1,117,204.4,123,11.5,2,359-4336
no,no,0.009,0.001,0,139.8,98,174.9,143,201.6,135,9.4,7,336-9901
no,no,0.002,0.021,0,162.3,99,149.1,78,255.5,115,14.8,1,406-3069
no,no,0.059,0.019,0,272.7,97,236.4,95,235.5,105,7.7,2,334-6519
yes,yes,0.001,0.007,33,200.3,75,226.6,67,198.8,91,12.9,3,361-8113
no,yes,0.02,0.013,28,157.1,77,172.4,97,184.5,94,11.1,9,347-9769
yes,yes,0.004,0.014,12,135.8,60,200.6,134,192.4,98,12.3,7,352-9130
no,no,0.01,0.005,0,236.7,110,231.9,92,164.7,85,12.7,6,378-4557
no,no,0,0.016,0,111.4,133,175,66,217.2,106,5.5,6,360-8919
yes,yes,0.012,0.014,28,156.1,89,107.1,114,167.7,95,14.7,3,405-4109
no,no,0.01,0.001,0,191.1,93,282.8,56,84.8,118,12,4,381-2498
no,no,0.04,0.035,0,153,123,141.1,127,171.5,76,10.3,15,357-5696
no,no,0.004,0.014,0,218.8,123,242.8,64,85.8,80,10.3,3,412-2947
no,no,0.013,0.001,0,205.4,101,134.9,77,310.5,83,10.3,2,363-3571
yes,no,0.063,0.015,0,225.2,111,184.9,98,143.2,146,9.9,1,405-5403
no,no,0.06,0.019,0,249.9,127,254.5,118,273.2,98,8.9,6,330-9354
no,no,0.006,0,0,131.6,89,137,109,256.3,107,10.2,5,396-7091
no,yes,0.001,0.016,21,197.9,99,165.6,100,208,120,10.1,9,398-3004
no,no,0.001,0.002,0,166.5,129,210.2,107,257.2,93,9.9,5,400-4020
no,yes,0.001,0.007,29,225.4,79,187.1,112,281.1,112,12.9,3,356-3448
no,no,0.012,0.038,0,275.8,103,189.5,108,223.9,93,7.4,5,335-2019
no,yes,0.018,0.009,40,142.9,105,88.6,61,290,96,10.8,6,332-6633
no,no,0.016,0.003,0,207.2,113,256,80,211,87,9.9,1,359-7648
no,no,0.008,0.004,0,206.2,100,211.2,118,196.2,122,10.2,6,412-9190
no,no,0.003,0.016,0,210.3,66,195.8,76,221.6,82,11.2,7,368-9007
yes,yes,0.003,0.016,38,225.7,117,119.6,122,193.2,125,14,7,384-5632
no,yes,0.002,0.012,33,167.8,91,205.3,91,130,132,14.5,4,352-6068
no,no,0.018,0.012,0,197.7,118,152.2,96,221,93,7,3,343-9645
no,yes,0.009,0.015,39,169.8,105,65.2,116,144.4,92,10.9,4,384-7873
no,yes,0.005,0.014,28,190.6,104,237.3,105,211.6,116,9.8,1,396-2187
no,yes,0.019,0.009,45,80.3,140,153.3,101,309.2,123,12.8,3,383-5109
no,yes,0.003,0.015,36,231.7,110,225.1,88,201.7,89,12.1,2,377-7843
no,no,0.003,0.009,0,69.1,114,230.3,109,256.7,96,6.5,4,382-7999
no,no,0.008,0.003,0,188.8,60,217.4,64,220.1,100,8.2,7,328-1222
no,no,0.018,0.011,0,150.6,125,169.1,126,221.2,104,10.4,8,371-1727
no,no,0.003,0.006,0,192,89,139.5,88,187.4,102,5.5,4,369-8871
no,yes,0.01,0.011,25,163.7,78,113.2,112,134.1,118,9.9,3,335-9726
no,no,0.018,0.007,0,211.7,100,198.7,101,301.7,136,6.5,9,357-3709
no,no,0.011,0.001,0,175.5,103,132.3,120,242.9,96,11.8,3,422-9964
no,no,0.014,0.014,0,150.1,120,200.1,85,266.7,105,11,3,366-9211
no,no,0.017,0.011,0,189.5,99,176.3,117,225.9,112,14.2,2,384-9033
no,no,0.002,0.019,0,70.8,94,215.6,102,230.8,125,9.5,1,382-4932
no,no,0.018,0.012,0,215.5,102,190.7,95,214.5,106,8.6,6,404-7518
no,no,0.016,0.016,0,101.7,105,202.8,99,136.2,119,9.4,6,353-1954
no,no,0.009,0.007,0,258.4,132,126.8,119,182.4,87,9.7,8,391-7166
no,no,0.003,0.015,0,242.4,126,152.9,115,318.3,115,11.8,6,370-9000
no,no,0.02,0.003,0,131.8,82,284.3,119,305.5,101,11.3,2,332-3642
no,no,0.019,0.006,0,190.2,102,197.7,141,247.5,102,9.8,6,412-3898
no,no,0.003,0.001,0,154.1,104,204.2,112,196.2,92,9.8,4,366-5640
no,no,0.008,0.008,0,188,127,90.5,118,150.3,64,15.3,3,356-2302
no,no,0.008,0.005,0,103.1,70,275,129,141.1,92,11.2,5,345-9018
no,no,0.009,0.006,0,175.4,130,159.5,130,260.6,96,11.6,4,365-6205
no,no,0.008,0.012,0,145.4,93,209.1,98,214,96,10.9,1,337-1151
yes,no,0.001,0.015,0,250.6,85,187.9,50,120.3,131,7.8,5,374-4664
no,no,0.002,0.002,0,161.5,123,214.2,81,315,106,8.6,5,396-9656
no,no,0.036,0.022,0,260.1,101,256.5,68,229.1,89,10,2,377-5043
no,no,0.046,0.012,0,281.3,124,301.5,96,202.8,109,8.7,3,401-7359
yes,yes,0.036,0.021,42,130.1,90,167,128,244.7,80,13.6,5,375-2184
no,no,0.013,0.012,0,102,118,113.3,134,188.6,105,11.4,3,367-6005
no,yes,0.009,0.001,33,218.7,104,155,144,99,117,12.1,4,364-2166
no,yes,0.014,0.006,30,128.5,86,188.4,91,254.4,85,6.8,6,414-4741
no,no,0.067,0.026,0,128.7,100,227.1,67,178.1,135,9.2,4,403-9719
